id,bookid,title,authors,average_rating,language_code,num_pages,author_name,author_gender,author_average_rating,birthplace,genre_1,genre_2,pages,publish_date,score
143,295,Treasure Island,Robert Louis Stevenson,3.83,eng,311,Robert Louis Stevenson ,male,3.84,United Kingdom,Classics,Fiction,311,January 28th 1882,1048
2142,6440,Ivanhoe,Walter Scott-Graham Tulloch,3.75,eng,544,Walter Scott ,male,3.74,United Kingdom,Classics,Historical,544,1819,1515
2891,8921,The Hound of the Baskervilles (Sherlock Holmes  #5),Arthur Conan Doyle-Anne Perry-Maria Buitoni Duca-Sidney Paget,4.10,eng,256,Arthur Conan Doyle ,male,4.2,United Kingdom,Classics,Mystery,256,April 1902,3269
3919,12009,The Algebraist,Iain M. Banks-Juan José Llanos Collado,4.01,eng,434,Iain M. Banks ,male,4.08,United Kingdom,Science Fiction,Fiction,534,October 2004,352
6210,18630,The Player of Games (Culture  #2),Iain M. Banks,4.27,eng,293,Iain M. Banks ,male,4.08,United Kingdom,Science Fiction,Fiction,293,August 1988,20807
8181,25698,The Wealth of Nations,Adam Smith,3.89,eng,1264,Adam Smith ,male,3.9,United Kingdom,Economics,Nonfiction,1264,1776,32209
10504,34268,Peter Pan,J.M. Barrie-Michael Hague,4.08,eng,176,J.M. Barrie ,male,4.09,United Kingdom,Classics,Fantasy,176,1904,1978
668,1953,A Tale of Two Cities,Charles Dickens-Richard Maxwell-Saniye Güven-Sevil İnan Sönmez,3.83,eng,489,Charles Dickens ,male,3.88,United Kingdom,Classics,Fiction,489,November 1859,2850
749,2156,Persuasion,Jane Austen-James Kinsley-Maurgaux Motin-Deidre Shauna Lynch,4.13,eng,249,Jane Austen ,female,4.11,United Kingdom,Classics,Fiction,249,December 1817,1183
905,2696,The Canterbury Tales,Geoffrey Chaucer-Nevill Coghill,3.49,eng,504,Geoffrey Chaucer ,male,3.54,United Kingdom,Classics,Fiction,504,1390,1521
999,2932,Robinson Crusoe,Daniel Defoe-Gerald McCann-Virginia Woolf,3.67,eng,320,Daniel Defoe ,male,3.64,United Kingdom,Classics,Fiction,320,April 25th 1719,1311
1123,3388,Corelli's Mandolin,Louis de Bernières,3.97,eng,437,Louis de Bernières ,male,3.96,United Kingdom,Fiction,Historical,437,1994,4359
